Entity,Type,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#100-001-颐-震下艮上-27,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#100-010-屯-震下坎上-03,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#100-101-噬嗑-震下离上-21,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#100-110-随-震下兑上-17,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#100-111-无妄-震下乾上-25,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#101-离-火,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#101-001-贲-离下艮上-22,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#101-101-离-离上离下-30,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#101-111-同人-离下乾上-13,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#11-老阳-夏,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#110-兑-泽,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#110-000-临-兑下坤上-19,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#110-111-履-兑下乾上-10,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#111-乾-天,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#111-000-泰-乾下坤上-11,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#111-001-大畜-乾下艮上-26,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#111-010-需-乾下坎上-05,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#111-011-小畜-乾下巽上-09,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#111-101-大有-乾下离上-14,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#111-111-乾-乾下乾上-01,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-不克讼，归而逋，其邑人三百户，无眚,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-包荒，用冯河，不遐遗，朋亡。得尚于中行。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-包蒙吉，纳妇吉，子克家,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-在师中，吉无咎，王三锡命,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-大车以载，有攸往，无咎。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-履道坦坦，幽人贞吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-干母之蛊，不可贞。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-牵复，吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-见龙在田，利见大人,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-九二-需于沙，小有言，终吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-介于石，不终日，贞吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-包成，小人吉，大人否亨。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-同人于宗，吝。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-屯如？如，乘马班如，匪寇婚媾，女子贞十字，十年乃字,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-比之自内，贞吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-直方，大，不习，无不利,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-系小子，失丈夫。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#2-六二-鸣谦，贞吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-伏戎于莽，升其高陵，三岁不兴。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-公用亨于天子，小人弗克。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-劳谦，君子有终，吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-君子终日乾乾，夕惕若，厉，无咎,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-干父之蛊，小有悔，无大咎。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-无平不陂，无往不复，艰贞无咎，勿恤其孚，于食有福。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-舆说辐，夫妻反目,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-九三-需于泥，致寇至,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-勿用取女，见金夫，不有躬，无攸利,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-包羞。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-即鹿无虞，惟入于林中，君子几，不如舍，往吝,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-含章可贞，或从王事，无成有终,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-师或舆尸，凶,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-比之匪人,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-系丈夫，失小子。随有求得，利居贞。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-食旧德，贞厉，终吉，或从王事无成,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-盱(xu1)豫悔，迟有悔。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#3-六三-眇能视，跛(bo3)能履，履虎尾，咥(die2)人，凶，武人为于大君,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-不克讼，复即命，渝安贞，吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-乘其墉，弗克攻，吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-匪其彭，无咎。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-或跃在渊，无咎,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-有命无咎，畴离祉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-随有获，贞凶。有孚在道，以明，何咎。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-乘马班如，求婚媾，往吉，无不利,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-困蒙，吝,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-外比之，贞吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-师左次无咎,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-括囊，无咎无誉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-有孚，血去惕出，无咎,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-翩翩不富以其邻，不戒以孚。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-裕父之蛊，往见吝。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-需于血，出自穴,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-履虎尾，愬愬(su4)终吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-九四-由豫，大有得，勿疑，朋盍(he2)簪。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#4-六四-无不利，㧑(wei2)谦。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-休否，大人吉，其亡其亡，系于苞桑。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-孚于嘉，吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-显比，王用三驱失前禽，邑人不诫，吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-有孚挛如，富以其邻,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-讼元吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-需于酒食，贞吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-飞龙在天，利见大人,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-不富以其邻，利用侵伐，无不利。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-屯其膏，小贞吉，大贞凶,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-干父之蛊，用誉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-田有禽，利执言，无咎。长子帅师，弟子舆尸，贞凶,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-童蒙，吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-贞疾，恒不死。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-黄裳，元吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-同人先号咷(tao2)而后笑，大师克相遇。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-九五-夬(guai4)履，贞厉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-厥(jue2)孚交如，威如，吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#5-六五-帝乙归妹，以祉(zhi3)，元吉。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-不事王侯，高尚其事。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-亢龙有悔,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-倾否，先否后喜。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-击蒙，不利为寇，利御寇,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-同人于郊，无悔。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-既雨既处，尚德载，妇贞厉，月几望，君子征凶,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-自天祐之，吉无不利。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-视履考祥，其旋元吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-乘马班如，泣血涟如,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-入于穴，有不速之客三人来，敬之终吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-冥豫，成有渝，无咎。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-城复于隍，勿用师，自邑告命，贞吝。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-大君有命，开国承家，小人勿用,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-拘系之，乃从维之。王用亨于西山。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-比之无首，凶,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-鸣谦，利用行师，征邑国。,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上六-龙战于野，其血玄黄,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#6-上九-或锡之鞶(pan2)带，终朝褫(chi3)之,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#7-用九-见群龙无首，吉,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#7-用六-利永贞,Class,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#前序,ObjectProperty,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#后序,ObjectProperty,
http://www.semanticweb.org/yasen/ontologies/2023/3/yi#相对,ObjectProperty,
http://www.w3.org/2000/01/rdf-schema#comment,AnnotationProperty,
http://www.w3.org/1999/02/22-rdf-syntax-ns#PlainLiteral,Datatype,
